nama_produk,kategori_versi_awal,kategori_seharusnya,versi_awal_benar
Cincin Nikah / Cincin Couple Sepuh Perak Kualitas Terbaik,Perhiasan,Perhiasan,True
[KIDSWORLD] Gantungan Kunci Kepala Labubu / Head Keychain VIRAL / Cantelan Hiasan Tas,Fashion,Fashion,True
Rok Plisket Premium Panjang Wanita (Premium Pleats Skirt) Dewasa,Fashion,Fashion,True
Spon Ajaib Pembersih Kaca Kerak Aquarium Lumut Jamur Aquascape,Hewan Peliharaan,Hewan Peliharaan,True
C2W Clothtowear Bandana Wanita Motif Random Women's Bandanas,Lainnya,Fashion,False
Jilbab Instan Bergo Hamidah Jersey / Bergo Sport Jersey,Olahraga,Fashion,False
Regulator Las Gas Oksigen Welding Oxygen Yamato Samato Argon Propane Acetylene Gauge LPG/AC/AR/OX Asano Tabung For Welder Torch Cutting Kits,Elektronik,Pertukangan,False
"Gantungan Kunci No HP Mini, Ringan dan Cocok untuk Semua Jenis Kunci / Bisa Desain Sendiri Unik dan Lucu Cocok untuk Hadiah atau Souvenir",Handphone,Fashion,False
UGREEN UNO POWERBANK 10.000MAH QUICK CHARGING 30W BUILD-IN USB-C,Handphone,Handphone,True
AUKEY Charger Type C 140W GAN III PD 3.0 PPS Super Fast Charging Comet Mix 4 140W Series PA-C6,Handphone,Handphone,True
Tas Laptop Original Lenovo / HP / Toshiba / ASUS / Acer,Handphone,Elektronik,False
Mgler Angel Bintang by Jayaputra Perfumery2 / unisex / wanita/ pria / Parfum wewangian tahan lama edp,Kesehatan & Kecantikan,Kesehatan & Kecantikan,True
