nama_produk,kategori,nama_toko,lokasi_toko,kota,provinsi,harga,diskon,terjual,jumlah_ulasan,rating,url
Fresh Beef Burger (2pcs/pack) Raw Food Promo,Hewan Peliharaan,Toko Serba 9999,Tangerang Selatan,Tangerang Selatan,Banten,9999,50.0,100,15,5.0,https://www.tokopedia.com/tokoserba9999/fresh-beef-burger-2pcs-pack-raw-food-promo
Duck Roasted Bone (100gr/pack) Raw Food Promo,Hewan Peliharaan,Toko Serba 9999,Tangerang Selatan,Tangerang Selatan,Banten,9999,50.0,50,12,5.0,https://www.tokopedia.com/tokoserba9999/duck-roasted-bone-100gr-pack-raw-food-promo
Duck Floss (50gr/pack) Raw Food Promo,Hewan Peliharaan,Toko Serba 9999,Tangerang Selatan,Tangerang Selatan,Banten,9999,60.0,40,8,5.0,https://www.tokopedia.com/tokoserba9999/duck-floss-50gr-pack-raw-food-promo
Turkey Sosis (90gr/pack) Raw Food Promo,Hewan Peliharaan,Toko Serba 9999,Tangerang Selatan,Tangerang Selatan,Banten,9999,50.0,100,25,5.0,https://www.tokopedia.com/tokoserba9999/turkey-sosis-90gr-pack-raw-food-promo
"The Honest Recipe Lamb with Duck and Mint Raw Dog Food - Adult, 500g",Hewan Peliharaan,Lush Pets Co,Jakarta Utara,Jakarta,DKI Jakarta,115000,0.0,30,15,5.0,https://www.tokopedia.com/lushpetsco/the-honest-recipe-lamb-with-duck-and-mint-raw-dog-food-adult-500g
Organic Lamb Liver - HATI / ATI DOMBA - Dog & Cat Food Snack Treat,Hewan Peliharaan,Toko Serba 9999,Tangerang Selatan,Tangerang Selatan,Banten,10000,0.0,100,40,5.0,https://www.tokopedia.com/tokoserba9999/organic-lamb-liver-hati-ati-domba-dog-cat-food-snack-treat
RAW FOOD PORK ORIGINAL 1KG // Double Bar Pet Supply // Makanan Babi Giling untuk Anjing dan Kucing,Hewan Peliharaan,Double Bar Pet Supply,Denpasar,Denpasar,Bali,61500,0.0,90,90,5.0,https://www.tokopedia.com/doublebarpetsupply/raw-food-pork-original-1kg-double-bar-pet-supply-makanan-babi-giling-untuk-anjing-dan-kucing
GOAT ORIGINAL // Double Bar Pet Supply // Makanan Kambing Giling untuk Anjing dan Kucing,Hewan Peliharaan,Double Bar Pet Supply,Denpasar,Denpasar,Bali,70400,0.0,7,7,5.0,https://www.tokopedia.com/doublebarpetsupply/goat-original-double-bar-pet-supply-makanan-kambing-giling-untuk-anjing-dan-kucing
Dog & Cat Raw Food - Fresh Turkey BARF 1kg,Hewan Peliharaan,RumahBully,Jakarta Timur,Jakarta,DKI Jakarta,45000,0.0,4000,4000,4.9,https://www.tokopedia.com/rumahbully/dog-cat-raw-food-fresh-turkey-barf-1kg-1-kg
Premium Dog Food / Daging Sapi Giling / Raw Food Beef Bone-In PLUS 1KG,Hewan Peliharaan,Petco-1,Jakarta Selatan,Jakarta,DKI Jakarta,39000,0.0,1000,1000,5.0,https://www.tokopedia.com/petco-1/premium-dog-food-raw-food-beef-bone-in-plus-1kg
Super Beef Boneless / Daging Sapi Giling Tanpa Tulang / Raw Food / Dog Food,Hewan Peliharaan,Petco-1,Tangerang Selatan,Tangerang Selatan,Banten,30000,0.0,500,500,5.0,https://www.tokopedia.com/petco-1/super-beef-boneless-daging-sapi-giling-tanpa-tulang-raw-food-dog-food
Premium BONELESS Chicken Salmon / Dog Food / Cat Food / Raw Food,Hewan Peliharaan,Petco-1,Jakarta Selatan,Jakarta,DKI Jakarta,33000,0.0,1000,1000,5.0,https://www.tokopedia.com/petco-1/premium-boneless-chicken-salmon-dog-food-cat-food-raw-food
Premium Dog Food / Raw Food / Pure Beef Bone-in / Daging Giling 1 KG,Hewan Peliharaan,Petco-1,Jakarta Selatan,Jakarta,DKI Jakarta,37000,0.0,1000,1000,5.0,https://www.tokopedia.com/petco-1/premium-dog-food-raw-food-pure-beef-bone-in-daging-giling-1-kg
RAW FOOD RR BEEF LOCAL & CARROT + SALMON OIL 1KG ANJING DAN KUCING,Hewan Peliharaan,Pet Shop Complete,Kota Denpasar,Denpasar,Bali,67000,0.0,21,21,5.0,https://www.tokopedia.com/petshopcomplete/raw-food-rr-beef-local-carrot-salmon-oil-1kg-anjing-dan-kucing
RAW FOOD PAWDELI BEEF PUMPKIN 1KG MAKANAN ANJING DAN KUCING,Hewan Peliharaan,Pet Shop Complete,Kota Denpasar,Denpasar,Bali,108500,0.0,40,40,5.0,https://www.tokopedia.com/petshopcomplete/raw-food-pawdeli-beef-pumpkin-1kg-makanan-anjing-dan-kucing
